Issue;Category;Android-Specific;Chimera;Adoctor;DAAP;Lint;PMD;Ecoandroid;Leafactor;Paprika;Droidlens;xAL;Detectable in Kotlin;Explanation;Sample;Expected fix;File Extensions;Severity;Example_1;Example_2;Possible Void;Plausible Occurance Scenario;;;;;;;;;;;;
LifecycleAnnotationProcessorWithJava8;Runtime;Yes;;;;✅;;;;;;;✅;"For faster incremental build, switch to the Lifecycle Java 8 API with these steps: First replace annotationProcessor ""androidx.lifecycle:lifecycle-compiler:*version*"" kapt ""androidx.lifecycle:lifecycle-compiler:*version*"" with implementation ""androidx.lifecycle:lifecycle-common-java8:*version*"" Then remove any OnLifecycleEvent annotations from Observer classes and make them implement the DefaultLifecycleObserver interface.";https://googlesamples.github.io/android-custom-lint-rules/checks/LifecycleAnnotationProcessorWithJava8.md.html;"For faster incremental builds, switch to the Lifecycle Java 8 API by replacing annotationProcessor ""androidx.lifecycle:lifecycle-compiler"" with implementation ""androidx.lifecycle:lifecycle-common-java8"". Also, remove any OnLifecycleEvent annotations and use DefaultLifecycleObserver.";*.java, *.kt;Warning;LifecycleAnnotationProcessorWithJava81.txt;LifecycleAnnotationProcessorWithJava82.txt;;A developer is implementing lifecycle-aware components in their application using Java 8. ;;;;;;;;;;;;
AnnotationProcessorOnCompilePath;Runtime;Yes;;;;✅;;;;;;;✅;This dependency is identified as an annotation processor. Consider adding it to the processor path using annotationProcessor instead of including it to the compile path.;https://googlesamples.github.io/android-custom-lint-rules/checks/AnnotationProcessorOnCompilePath.md.html; If an annotation processor is included in the compile classpath, move it to the annotationProcessor path instead to optimize the build process.;*.gradle;Warning;AnnotationProcessorOnCompilePath1.txt;AnnotationProcessorOnCompilePath2.txt;;A developer is adding an annotation processor library (like Dagger or Butterknife) to their project's dependencies;;;;;;;;;;;;
LogConditional;Runtime;Yes;;;;✅;;;;;;;✅;The BuildConfig class provides a constant, DEBUG, which indicates whether the code is being built in release mode or in debug mode. In release mode, you typically want to strip out all the logging calls. Since the compiler will automatically remove all code which is inside a if (false) check, surrounding your logging calls with a check for BuildConfig.DEBUG is a good idea. If you really intend for the logging to be present in release mode, you can suppress this warning with a @SuppressLint annotation for the intentional logging calls.;https://googlesamples.github.io/android-custom-lint-rules/checks/LogConditional.md.html;Wrap log statements in a check for BuildConfig.DEBUG to ensure logging is only active in debug builds and automatically removed from release builds.;*.java, *.kt;Warning;LogConditional1.txt;LogConditional2.txt;;A developer is implementing logging throughout their application for debugging purposes only;;;;;;;;;;;;
WearableBindListener;Runtime;Yes;;;;✅;;;;;;;✅;BIND_LISTENER receives all Android Wear events whether the application needs them or not. This can be inefficient and cause applications to wake up unnecessarily. With Google Play Services 8.2.0 or later it is recommended to use a more efficient combination of manifest listeners and api-based live listeners filtered by action, path and/or path prefix.;https://googlesamples.github.io/android-custom-lint-rules/checks/WearableBindListener.md.html;For Android Wear apps, avoid using the BIND_LISTENER unless necessary, as it can cause inefficiency by waking the app unnecessarily. Use manifest listeners and API-based live listeners instead.;*.xml;Fatal;WearableBindListener1.txt;WearableBindListener2.txt;;A developer is creating a Wear OS application to receive Android Wear events;;;;;;;;;;;;
UsableSpace;Memory;Yes;;;;✅;;;;;;;✅;When you need to allocate disk space for large files, consider using the new allocateBytes(FileDescriptor, long) API, which will automatically clear cached files belonging to other apps (as needed) to meet your request. When deciding if the device has enough disk space to hold your new data, call getAllocatableBytes(UUID) instead of using getUsableSpace(), since the former will consider any cached data that the system is willing to clear on your behalf.Note that these methods require API level 26. If your app is running on older devices, you will probably need to use both APIs, conditionally switching on Build.VERSION.SDK_INT. Lint only looks in the same compilation unit to see if you are already using both APIs, so if it warns even though you are already using the new API, consider moving the calls to the same file or suppressing the warning.;https://googlesamples.github.io/android-custom-lint-rules/checks/UsableSpace.md.html;When allocating disk space for large files, use allocateBytes(FileDescriptor, long) (API level 26+) to clear other app’s cached files if needed. Use getAllocatableBytes(UUID) for checking space availability instead of getUsableSpace().;*.java, *.kt;Warning;UsableSpace1.txt;UsableSpace2.txt;;A developer is implementing a file download manager that needs to check if there's enough space before downloading large media files.;;;;;;;;;;;;
VectorPath;Runtime;Yes;;;;✅;;;;;;;✅;Using long vector paths is bad for performance. There are several ways to make the pathData shorter:Using less precision, Removing some minor details, Using the Android Studio vector conversion tool, Rasterizing the image (converting to PNG);https://googlesamples.github.io/android-custom-lint-rules/checks/VectorPath.md.html;void using long vector paths as they negatively affect performance. You can reduce path data by: Reducing precision, Removing minor details, Using Android Studio's vector conversion tool, Rasterizing the image to PNG (if vector paths are not necessary).;*.java, *.kt, *.xml;Warning;VectorPath1.txt;VectorPath2.txt;;A developer is converting a complex logo from SVG to Android vector drawable format.;;;;;;;;;;;;
UnusedNamespace;Runtime;Yes;;;;✅;;;;;;;✅;Unused namespace declarations take up space and require processing that is not necessary.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnusedNamespace.md.html; Remove unused namespace declarations from your XML files as they take up unnecessary space and require additional processing.;*.java, *.kt, *.xml;Warning;UnusedNamespace1.txt;UnusedNamespace2.txt;;A developer is creating an XML layout file for a new screen in their Android application. When setting up the layout, they include multiple namespace declarations at the root level (such as xmlns:app, xmlns:tools, and xmlns:custom) to access various attributes.;;;;;;;;;;;;
RedundantNamespace;Runtime;Yes;;;;✅;;;;;;;✅;In Android XML documents, only specify the namespace on the root/document element. Namespace declarations elsewhere in the document are typically accidental leftovers from copy/pasting XML from other files or documentation.;https://googlesamples.github.io/android-custom-lint-rules/checks/RedundantNamespace.md.html; Only specify the namespace on the root element of your XML document. Other redundant namespace declarations are typically accidental leftovers from copying/pasting XML code.;*.xml;Warning;RedundantNamespace1.txt;RedundantNamespace2.txt;;"A developer is creating a custom layout by copying elements from various XML files. They inadvertently include namespace declarations (xmlns:android=""http://schemas.android.com/apk/res/android"") on multiple elements within the same document, not just on the root element.";;;;;;;;;;;;
ViewTag;Memory;Yes;;;;✅;;;;;;;✅;Prior to Android 4.0, the implementation of View.setTag(int, Object) would store the objects in a static map, where the values were strongly referenced. This means that if the object contains any references pointing back to the context, the context (which points to pretty much everything else) will leak. If you pass a view, the view provides a reference to the context that created it. Similarly, view holders typically contain a view, and cursors are sometimes also associated with views.;https://googlesamples.github.io/android-custom-lint-rules/checks/ViewTag.md.html;Avoid using View.setTag(int, Object) before Android 4.0 as it could cause memory leaks due to static map references. This can result in the context being leaked if the tag holds a reference back to the context.;*.java, *.kt;Warning;ViewTag1.txt;ViewTag2.txt;;A developer is implementing a ListView with complex items and needs to store references to views for the ViewHolder pattern.;;;;;;;;;;;;
TooManyViews;Runtime;Yes;;;;✅;;;;;;;✅;Using too many views in a single layout is bad for performance. Consider using compound drawables or other tricks for reducing the number of views in this layout.The maximum view count defaults to 80 but can be configured with the environment variable ANDROID_LINT_MAX_VIEW_COUNT.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooManyViews.md.html;Limit the number of views in a single layout. Too many views degrade performance. Consider combining elements using compound drawables or optimizing your layout structure. Example: If you have too many views, try using CompoundDrawables or a flatter layout.;*.xml;Warning;TooManyViews1.txt;TooManyViews2.txt;;A developer is designing a complex settings screen with numerous options. They need create to create a layout with almost 100 individual view elements;;;;;;;;;;;;
TooDeepLayout;Runtime;Yes;;;;✅;;;;;;;✅;Layouts with too much nesting is bad for performance. Consider using a flatter layout (such as RelativeLayout or GridLayout).The default maximum depth is 10 but can be configured with the environment variable ANDROID_LINT_MAX_DEPTH.;https://googlesamples.github.io/android-custom-lint-rules/checks/TooDeepLayout.md.html;Excessively nested layouts impact performance. Consider flattening the layout structure or using more efficient layouts like RelativeLayout or GridLayout.Example: If your layout has more than 10 nested views, consider restructuring it for better performance.;*.xml;Warning;TooDeepLayout1.txt;TooDeepLayout2.txt;;A developer is creating a UI with multiple nested layouts to achieve a specific visual arrangement. ;;;;;;;;;;;;
UseCompoundDrawables;Runtime;Yes;;;;✅;;;;;;;✅;A LinearLayout which contains an ImageView and a TextView can be more efficiently handled as a compound drawable (a single TextView, using the drawableTop, drawableLeft, drawableRight and/or drawableBottom attributes to draw one or more images adjacent to the text).;https://googlesamples.github.io/android-custom-lint-rules/checks/UseCompoundDrawables.md.html;Combine ImageView and TextView using drawableLeft, drawableTop, drawableRight, or drawableBottom attributes to improve performance instead of adding multiple views.;*.xml;Warning;UseCompoundDrawables1.txt;UseCompoundDrawables2.txt;;A developer is creating list items that display an icon next to text. ;;;;;;;;;;;;
UseOfBundledGooglePlayServices;Memory;Yes;;;;✅;;;;;;;✅;Google Play services SDK's can be selectively included, which enables a smaller APK size. Consider declaring dependencies on individual Google Play services SDK's. If you are using Firebase API's(https://firebase.google.com/docs/android/setup), Android Studio's Tools → Firebase assistant window can automatically add just the dependencies needed for each feature.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfBundledGooglePlayServices.md.html;Declare dependencies of individual Google Play services SDK's;*.gradle;Warning;UseOfBundledGooglePlayServices1.txt;UseOfBundledGooglePlayServices2.txt;;A developer has to add Google Play Services to their app ;;;;;;;;;;;;
StringFormatTrivial;Runtime;Yes;;;;✅;;;;;;;✅;Every call to String.format creates a new Formatter instance, which will decrease the performance of your app. String.format should only be used when necessary—if the formatted string contains only trivial conversions (e.g. b, s, c) and there are no translation concerns, it will be more efficient to replace them and concatenate with +.;https://googlesamples.github.io/android-custom-lint-rules/checks/StringFormatTrivial.md.html;void using String.format for trivial string formatting as it creates a new Formatter instance, which reduces performance. Instead, concatenate strings where no translation is needed.;*.java, *.kt;Warning;StringFormatTrivial1.txt;StringFormatTrivial2.txt;;A developer is building strings for logging or display.;;;;;;;;;;;;
AssertionSideEffect;Runtime;Yes;;;;✅;;;;;;;✅;There's a lint quickfix to perform this conversion in the Eclipse plugin.;https://googlesamples.github.io/android-custom-lint-rules/checks/AssertionSideEffect.md.html;Make sure assertions do not have side effects in your code as they could cause unnecessary computation in release builds. This could lead to wasted work.;*.java, *.kt;Warning;AssertionSideEffect1.txt;AssertionSideEffect2.txt;;A developer is implementing input validation for a heavy financial calculation. it requires performing assertions to verify that input values are within expected range.;;;;;;;;;;;;
DuplicateStrings;Runtime;Yes;;;;✅;;;;;;;✅;Duplicate strings can make applications larger unnecessarily. This lint check looks for duplicate strings, including differences for strings where the only difference is in capitalization. Title casing and all uppercase can all be adjusted in the layout or in code.;https://googlesamples.github.io/android-custom-lint-rules/checks/DuplicateStrings.md.html;duplicate strings (including those differing only by case). These increase the size of the application unnecessarily.;*.xml;Warning;DuplicateStrings1.txt;DuplicateStrings2.txt;;A developer is localizing their application and has to define multiple similar strings in the strings.xml resource file;;;;;;;;;;;;
ExpensiveAssertion;Runtime;Yes;;;;✅;;;;;;;✅;In Kotlin, assertions are not handled the same way as from the Java programming language. In particular, they're just implemented as a library call, and inside the library call the error is only thrown if assertions are enabled.This means that the arguments to the assert call will always be evaluated. If you're doing any computation in the expression being asserted, that computation will unconditionally be performed whether or not assertions are turned on. This typically turns into wasted work in release builds. This check looks for cases where the assertion condition is nontrivial, e.g. it is performing method calls or doing more work than simple comparisons on local variables or fields.;https://googlesamples.github.io/android-custom-lint-rules/checks/ExpensiveAssertion.md.html;n Kotlin, assertions are implemented as library calls, meaning computations in the assert statement are always evaluated regardless of whether assertions are enabled. Avoid performing expensive computations within assertions.;*.java, *.kt;Warning;ExpensiveAssertion1.txt;ExpensiveAssertion2.txt;;A developer is using Kotlin to implement data validation in a processing pipeline. He need to write an assertion that calls a complex validation method;;;;;;;;;;;;
LaunchActivityFromNotification;Runtime;Yes;;;;✅;;;;;;;✅;Notifications should only launch activities — that's what users expect (and has been the guidance in both the Android SDK and Material Design documentation for a while).;https://googlesamples.github.io/android-custom-lint-rules/checks/LaunchActivityFromNotification.md.html;Notifications should launch activities, as that is what users expect. Avoid launching services or other components from notifications.;*.java, *.kt;Warning;LaunchActivityFromNotification1.txt;LaunchActivityFromNotification2.txt;;A developer is implementing a notification system for their messaging app. When a new message arrives a certain operation needs to start an operation that might need to trigger a background task;;;;;;;;;;;;
NotificationTrampoline;Runtime;Yes;;;;✅;;;;;;;✅;A Service or a BroadcastReceiver should not be used as an intermediate, because this can lead to significant performance problems, and as a result, this will not be allowed in Android 12.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotificationTrampoline.md.html;Avoid using a Service or BroadcastReceiver as an intermediary for launching activities from notifications, as this can cause performance issues. This behavior will be disallowed starting from Android 12.;*.java, *.kt;Error;NotificationTrampoline1.txt;NotificationTrampoline2.txt;;A developer is building a notification feature that needs to perform some background work before showing UI.;;;;;;;;;;;;
AutoboxingStateCreation;Runtime;No;;;;✅;;;;;;;✅;Calling mutableStateOf<t>() when T is either backed by a primitive type on the JVM or is a value class results in a state implementation that requires all state values to be boxed. This usually causes an additional allocation for each state write, and adds some additional work to auto-unbox values when reading the value of the state. Instead, prefer to use a specialized primitive state implementation for Int, Long, Float, and Double when the state does not need to track null values and does not override the default SnapshotMutationPolicy. See mutableIntStateOf(), mutableLongStateOf(), mutableFloatStateOf(), and mutableDoubleStateOf() for more information.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateCreation.md.html;Use mutableIntStateOf(), mutableLongStateOf(), etc. instead of mutableStateOf() for primitives.;*.java, *.kt;Warning;AutoboxingStateCreation1.txt;AutoboxingStateCreation2.txt;;A developer is implementing a Jetpack Compose UI that needs to track an integer counter. ;;;;;;;;;;;;
AutoboxingStateValueProperty;Runtime;No;;;;✅;;;;;;;✅;Avoid using the generic value property when using a specialized State type. Reading or writing to the state's generic value property will result in an unnecessary autoboxing operation. Prefer the specialized value property (e.g. intValue for MutableIntState), or use property delegation to avoid unnecessary allocations.;https://googlesamples.github.io/android-custom-lint-rules/checks/AutoboxingStateValueProperty.md.html;Use .intValue, .longValue, etc., instead of .value when using specialized state types.;*.java, *.kt;Warning;AutoboxingStateValueProperty1.txt;AutoboxingStateValueProperty2.txt;;A developer is working with a specialized MutableIntState in Jetpack Compose. It is required to access the state value;;;;;;;;;;;;
FrequentlyChangedStateReadInComposition;Runtime;Yes;;;;✅;;;;;;;✅;This property is observable and is updated after every scroll or remeasure. If you use it in the composable function directly, it will be recomposed on every change, causing potential performance issues including infinity recomposition loops. Prefer wrapping it with derivedStateOf to use calculation based on this property in composition or collect changes inside LaunchedEffect instead.;https://googlesamples.github.io/android-custom-lint-rules/checks/FrequentlyChangedStateReadInComposition.md.html;Wrap frequently updated state in derivedStateOf to reduce recompositions.;*.java, *.kt;Warning;FrequentlyChangedStateReadInComposition1.txt;FrequentlyChangedStateReadInComposition2.txt;;"A developer is implementing a scrollable list in Jetpack Compose. It it required to implement composable function to show a ""scroll to top"" button";;;;;;;;;;;;
KaptUsageInsteadOfKsp;Runtime;Yes;;;;✅;;;;;;;✅;KSP is a more efficient replacement for kapt. For libraries that support both, KSP should be used to improve build times.;https://googlesamples.github.io/android-custom-lint-rules/checks/KaptUsageInsteadOfKsp.md.html;Switch to KSP for annotation processing if supported.;*.gradle;Warning;KaptUsageInsteadOfKsp1.txt;KaptUsageInsteadOfKsp2.txt;;A developer is setting up dependency injection with Dagger Hilt in their project. They need to configure the build.gradle file to use annotation processing;;;;;;;;;;;;
NotifyDataSetChanged;Runtime;Yes;;;;✅;;;;;;;✅;The RecyclerView adapter's onNotifyDataSetChanged method does not specify what about the data set has changed, forcing any observers to assume that all existing items and structure may no longer be valid. LayoutManagers will be forced to fully rebind and relayout all visible views.;https://googlesamples.github.io/android-custom-lint-rules/checks/NotifyDataSetChanged.md.html;Use specific update methods (notifyItemInserted(), notifyItemRemoved()) or DiffUtil;*.java, *.kt;Warning;NotifyDataSetChanged1.txt;NotifyDataSetChanged2.txt;;A developer is implementing a dynamic list with RecyclerView that updates when new data arrives. ;;;;;;;;;;;;
UnnecessaryArrayInit;Runtime;No;;;;✅;;;;;;;✅;When constructing an array in Kotlin, you don't need to pass a lambda to set the initial value if it's identical to the default or if you're going to overwrite all the values without reading them anyway.;https://googlesamples.github.io/android-custom-lint-rules/checks/UnnecessaryArrayInit.md.html;don't  explicitly inititialize an array with zeroed values if not needed. Example: val startPoints = remember { IntArray(4) { 0 } };*.java, *.kt;Warning;UnnecessaryArrayInit1.txt;UnnecessaryArrayInit2.txt;;A developer is creating an array to store temporary calculation results in Kotlin. ;;;;;;;;;;;;
SyntheticAccessor;Runtime;No;;;;✅;;;;;;;✅;A private inner class which is accessed from the outer class will force the compiler to insert a synthetic accessor. this means that you are causing extra overhead. This is not important in small projects, but is important for large apps running up against the 64K method handle limit, and especially for libraries where you want to make sure your library is as small as possible for the cases where your library is used in an app running up against the 64K limit.;https://googlesamples.github.io/android-custom-lint-rules/checks/SyntheticAccessor.md.html;Change the modifier of the class, method or field to protected or public;*.java, *.kt;Warning;SyntheticAccessor1.txt;SyntheticAccessor2.txt;;A developer is creating a inner class that needs to access fields or methods from the outer class;;;;;;;;;;;;
UseOfNonLambdaOffsetOverload;Runtime;No;;;;✅;;;;;;;✅;Modifier.offset() is recommended to be used with static arguments only to avoid unnecessary recompositions. Modifier.offset{ } is preferred in the cases where the arguments are backed by a State.;https://googlesamples.github.io/android-custom-lint-rules/checks/UseOfNonLambdaOffsetOverload.md.html;Use Modifier.offset {} instead of Modifier.offset(x, y) for state-backed offsets.;*.java, *.kt;Warning;UseOfNonLambdaOffsetOverload1.txt;UseOfNonLambdaOffsetOverload2.txt;;A developer is implementing an animated UI element in Jetpack Compose that changes position based on user interaction.;;;;;;;;;;;;
